user_id,user_idx
1,0
2,1
4,2
6,3
8,4
9,5
10,6
11,7
14,8
15,9
18,10
19,11
20,12
23,13
25,14
28,15
30,16
31,17
32,18
33,19
34,20
35,21
37,22
41,23
43,24
45,25
49,26
52,27
58,28
62,29
64,30
67,31
68,32
71,33
72,34
73,35
75,36
80,37
82,38
83,39
86,40
90,41
91,42
96,43
97,44
99,45
102,46
104,47
106,48
107,49
110,50
111,51
113,52
114,53
115,54
116,55
117,56
119,57
121,58
126,59
134,60
137,61
139,62
141,63
151,64
152,65
159,66
161,67
165,68
166,69
171,70
173,71
174,72
176,73
182,74
185,75
186,76
187,77
188,78
189,79
194,80
198,81
199,82
200,83
201,84
204,85
207,86
209,87
210,88
211,89
213,90
214,91
215,92
221,93
222,94
223,95
230,96
232,97
234,98
237,99
241,100
245,101
247,102
257,103
258,104
260,105
261,106
262,107
265,108
266,109
270,110
271,111
272,112
273,113
275,114
281,115
283,116
284,117
287,118
290,119
294,120
297,121
298,122
300,123
302,124
305,125
307,126
308,127
309,128
311,129
313,130
314,131
316,132
318,133
321,134
322,135
327,136
333,137
336,138
337,139
340,140
343,141
345,142
350,143
352,144
353,145
354,146
357,147
359,148
360,149
361,150
363,151
365,152
370,153
372,154
375,155
378,156
379,157
380,158
383,159
384,160
387,161
396,162
398,163
399,164
401,165
402,166
405,167
408,168
409,169
412,170
416,171
420,172
426,173
432,174
433,175
440,176
443,177
445,178
446,179
447,180
448,181
450,182
451,183
453,184
455,185
458,186
459,187
463,188
465,189
466,190
469,191
472,192
474,193
476,194
477,195
480,196
482,197
487,198
489,199
492,200
502,201
504,202
513,203
514,204
515,205
518,206
519,207
520,208
521,209
526,210
529,211
531,212
534,213
536,214
537,215
538,216
540,217
541,218
547,219
548,220
549,221
550,222
551,223
552,224
553,225
554,226
555,227
560,228
575,229
579,230
587,231
596,232
597,233
598,234
599,235
604,236
605,237
610,238
616,239
617,240
622,241
628,242
631,243
633,244
634,245
635,246
636,247
641,248
645,249
646,250
652,251
654,252
656,253
658,254
661,255
664,256
665,257
668,258
669,259
670,260
673,261
674,262
675,263
677,264
679,265
680,266
681,267
682,268
683,269
685,270
687,271
689,272
694,273
699,274
701,275
702,276
706,277
709,278
710,279
713,280
714,281
715,282
722,283
726,284
733,285
734,286
736,287
737,288
744,289
747,290
754,291
755,292
756,293
759,294
760,295
762,296
763,297
765,298
767,299
769,300
776,301
782,302
785,303
786,304
789,305
791,306
792,307
794,308
799,309
800,310
802,311
805,312
806,313
807,314
809,315
810,316
815,317
818,318
821,319
822,320
823,321
824,322
825,323
826,324
827,325
832,326
833,327
834,328
838,329
842,330
843,331
844,332
846,333
849,334
850,335
852,336
854,337
855,338
858,339
859,340
862,341
863,342
870,343
872,344
877,345
878,346
881,347
883,348
885,349
886,350
888,351
890,352
891,353
894,354
895,355
896,356
898,357
901,358
910,359
911,360
912,361
916,362
918,363
919,364
922,365
926,366
929,367
930,368
934,369
937,370
939,371
943,372
944,373
947,374
950,375
953,376
954,377
957,378
958,379
960,380
962,381
963,382
965,383
967,384
968,385
971,386
975,387
977,388
982,389
986,390
990,391
991,392
992,393
997,394
999,395
1000,396
1001,397
1003,398
1004,399
1006,400
1008,401
1013,402
1014,403
1015,404
1018,405
1019,406
1020,407
1021,408
1025,409
1026,410
1029,411
1031,412
1032,413
1038,414
1039,415
1042,416
1043,417
1044,418
1046,419
1049,420
1050,421
1051,422
1057,423
1059,424
1061,425
1062,426
1066,427
1067,428
1068,429
1070,430
1072,431
1073,432
1075,433
1077,434
1078,435
1081,436
1083,437
1085,438
1086,439
1087,440
1094,441
1095,442
1097,443
1102,444
1103,445
1106,446
1112,447
1114,448
1119,449
1123,450
1124,451
1125,452
1126,453
1128,454
1131,455
1134,456
1137,457
1138,458
1140,459
1145,460
1146,461
1147,462
1148,463
1149,464
1150,465
1151,466
1152,467
1153,468
1154,469
1156,470
1158,471
1161,472
1163,473
1166,474
1167,475
1168,476
1170,477
1173,478
1174,479
1178,480
1179,481
1182,482
1183,483
1185,484
1186,485
1187,486
1189,487
1191,488
1196,489
1197,490
1200,491
1201,492
1207,493
1208,494
1212,495
1215,496
1220,497
1223,498
1224,499
1225,500
1226,501
1231,502
1235,503
1236,504
1241,505
1243,506
1244,507
1248,508
1250,509
1251,510
1252,511
1254,512
1255,513
1256,514
1257,515
1260,516
1261,517
1262,518
1263,519
1264,520
1265,521
1266,522
1267,523
1269,524
1272,525
1273,526
1274,527
1277,528
1278,529
1280,530
1285,531
1290,532
1295,533
1299,534
1300,535
1303,536
1304,537
1308,538
1310,539
1314,540
1315,541
1318,542
1319,543
1320,544
1322,545
1327,546
1328,547
1329,548
1331,549
1332,550
1337,551
1339,552
1342,553
1343,554
1346,555
1348,556
1349,557
1350,558
1352,559
1353,560
1357,561
1358,562
1360,563
1361,564
1364,565
1367,566
1368,567
1369,568
1370,569
1372,570
1375,571
1377,572
1379,573
1381,574
1385,575
1386,576
1387,577
1388,578
1393,579
1397,580
1399,581
1405,582
1408,583
1411,584
1412,585
1413,586
1416,587
1420,588
1422,589
1428,590
1431,591
1433,592
1434,593
1435,594
1436,595
1437,596
1440,597
1446,598
1447,599
